
> diliinfo-backend@0.1.0 dev:port
> wrangler dev --port 8787


 ⛅️ wrangler 4.22.0 (update available 4.25.0)
[wrangler:info] GET /pv.gif 200 OK (16ms)
[wrangler:info] POST /api/applications/guest 200 OK (28ms)
[wrangler:info] GET /pv.gif 200 OK (29ms)
[wrangler:info] POST /api/applications/guest 200 OK (23ms)
[wrangler:info] POST /api/applications/guest 200 OK (38ms)
[wrangler:info] POST /api/applications/guest 200 OK (17ms)
[wrangler:info] GET /pv.gif 200 OK (20ms)
[wrangler:info] POST /api/applications/guest 200 OK (32ms)
[wrangler:info] POST /api/applications/guest 200 OK (30ms)
[wrangler:info] POST /api/applications/guest 200 OK (28ms)
[wrangler:info] GET /pv.gif 200 OK (19ms)
[wrangler:info] POST /api/applications/guest 200 OK (32ms)
[wrangler:info] POST /api/applications/guest 200 OK (23ms)
[wrangler:info] GET /pv.gif 200 OK (29ms)
[wrangler:info] POST /api/applications/guest 200 OK (15ms)
[wrangler:info] GET /pv.gif 200 OK (22ms)
[wrangler:info] POST /api/applications/guest 200 OK (30ms)
[wrangler:info] POST /api/applications/guest 200 OK (19ms)
[wrangler:info] POST /api/applications/guest 200 OK (35ms)
[wrangler:info] GET /pv.gif 200 OK (26ms)
[wrangler:info] POST /api/applications/guest 200 OK (24ms)
[wrangler:info] POST /api/applications/guest 200 OK (53ms)
[wrangler:info] GET /pv.gif 200 OK (51ms)
[wrangler:info] POST /api/applications/guest 200 OK (15ms)
[wrangler:info] GET /pv.gif 200 OK (17ms)
[wrangler:info] POST /api/applications/guest 200 OK (27ms)
[wrangler:info] GET /pv.gif 200 OK (6ms)
[wrangler:info] POST /api/admin/auth/login 200 OK (10ms)
[wrangler:info] GET /pv.gif 200 OK (9ms)
[wrangler:info] GET /api/admin/stats 200 OK (23ms)
[wrangler:info] GET /api/admin/stats 200 OK (21ms)
[wrangler:info] GET /api/admin/users 200 OK (28ms)
[wrangler:info] GET /api/admin/users 200 OK (55ms)
[wrangler:info] GET /api/admin/applications 200 OK (60ms)
[wrangler:info] GET /api/admin/applications 200 OK (8ms)
[wrangler:info] GET /api/admin/applications/guests 200 OK (11ms)
[wrangler:info] GET /api/admin/applications/guests 200 OK (8ms)
[wrangler:info] GET /pv.gif 200 OK (12ms)
